Roll,Roll Distribution %,Cumulative Chance %,Next Roll Chance %,,
1,0.6,0.6,0.603622,,
2,0.596,1.196,0.599598,,
3,0.592,1.788,0.599166,,
4,0.591,2.379,0.601759,,
5,0.586,2.965,0.600281,,
6,0.582,3.547,0.599784,,
7,0.579,4.126,0.600292,,
8,0.575,4.701,0.599745,,
9,0.571,5.272,0.599167,,
10,0.568,5.84,0.599612,,
11,0.565,6.405,0.600042,,
12,0.561,6.966,0.599391,,
13,0.558,7.524,0.599781,,
14,0.554,8.078,0.599074,,
15,0.552,8.63,0.600509,,
16,0.549,9.179,0.600854,,
17,0.545,9.724,0.600081,,
18,0.541,10.265,0.599273,,
19,0.539,10.804,0.600657,,
20,0.536,11.34,0.600924,,
21,0.531,11.871,0.598917,,0.000000000
22,0.528,12.399,0.599122,,
23,0.525,12.924,0.599308,,
24,0.523,13.447,0.600625,,
25,0.519,13.966,0.599633,,
26,0.517,14.483,0.600925,,
27,0.513,14.996,0.599881,,
28,0.511,15.507,0.601148,,
29,0.507,16.014,0.600050,,
30,0.503,16.517,0.598909,,
31,0.501,17.018,0.600122,,
32,0.498,17.516,0.600130,,
33,0.495,18.011,0.600116,,
34,0.491,18.502,0.598861,,
35,0.489,18.991,0.600015,,
36,0.486,19.477,0.599933,,
37,0.483,19.96,0.599829,,
38,0.48,20.44,0.599700,,
39,0.477,20.917,0.599548,,
40,0.475,21.392,0.600635,,
41,0.471,21.863,0.599176,,
42,0.469,22.332,0.600228,,
43,0.467,22.799,0.601277,,
44,0.464,23.263,0.601028,,
45,0.461,23.724,0.600753,,
46,0.457,24.181,0.599140,,
47,0.456,24.637,0.601432,,
48,0.453,25.09,0.601091,,
49,0.448,25.538,0.598051,,
50,0.447,25.985,0.600306,,
51,0.445,26.43,0.601229,,
52,0.442,26.872,0.600788,,
53,0.439,27.311,0.600317,,
54,0.437,27.748,0.601191,,
55,0.434,28.182,0.600675,,
56,0.43,28.612,0.598736,,
57,0.428,29.04,0.599541,,
58,0.426,29.466,0.600338,,
59,0.423,29.889,0.599711,,
60,0.42,30.309,0.599050,,
61,0.418,30.727,0.599791,,
62,0.416,31.143,0.600523,,
63,0.413,31.556,0.599794,,
64,0.41,31.966,0.599030,,
65,0.408,32.374,0.599700,,
66,0.406,32.78,0.600361,,
67,0.404,33.184,0.601012,,
68,0.401,33.585,0.600156,,
69,0.399,33.984,0.600768,,
70,0.396,34.38,0.599855,,
71,0.393,34.773,0.598903,,
72,0.392,35.165,0.600978,,
73,0.388,35.553,0.598442,,
74,0.387,35.94,0.600493,Average,Median
75,0.384,36.324,0.599438,0.600058,0.6000576119
76,20.627,56.951,32.393681,,
77,13.946,70.897,32.395642,,
78,9.429,80.326,32.398722,,
79,6.375,86.701,32.403172,,
80,4.306,91.007,32.378374,,
81,2.914,93.921,32.402980,,
82,1.97,95.891,32.406646,,
83,1.332,97.223,32.416646,,
84,0.901,98.124,32.445085,,
85,0.608,98.732,32.409382,,
86,0.411,99.143,32.413249,,
87,0.278,99.421,32.438740,,
88,0.187,99.608,32.297064,Average,Median
89,0.126,99.734,32.142857,32.381589,32.38158851
90,0.265,99.999,99.624060,,
