Date,Time,Tosser,Toss #,Start,End: H,End: T,,,Time,Tosser,Toss #,Start,End: H,End: T
10-Feb,8:43pm,Janet,1,H,1,,,,8:48PM,Priscilla,51,T,,1
,,,2,H,,1,,,,,52,T,,1
,,,3,H,,1,,,,,53,T,,1
,,,4,H,1,,,,,,54,T,,1
,,,5,H,,1,,,,,55,T,,1
,,,6,H,,1,,,,,56,T,1,
,,,7,H,,1,,,,,57,T,1,
,,,8,H,1,,,,,,58,T,,1
,,,9,H,,1,,,,,59,T,1,
,,,10,H,,1,,,,,60,T,,1
,,,11,H,,1,,,,,61,T,1,
,,,12,H,1,,,,,,62,T,,1
,,,13,H,1,,,,,,63,T,1,
,,,14,H,,1,,,,,64,T,1,
,,,15,H,,1,,,,,65,T,1,
,,,16,H,1,,,,,,66,T,1,
,,,17,H,1,,,,,,67,T,1,
,,,18,H,1,,,,,,68,T,,1
,,,19,H,,1,,,,,69,T,1,
,,,20,H,1,,,,,,70,T,1,
,,,21,H,1,,,,,,71,T,,1
,,,22,H,,1,,,,,72,T,,1
,,,23,H,,1,,,,,73,T,1,
,,,24,H,,1,,,,,74,T,1,
,,,25,H,,1,,,,,75,T,,1
,,,26,H,1,,,,,,76,T,1,
,,,27,H,,1,,,,,77,T,1,
,,,28,H,,1,,,,,78,T,,1
,,,29,H,,1,,,,,79,T,1,
,,,30,H,,1,,,,,80,T,,1
,,,31,H,,1,,,,,81,T,1,
,,,32,H,,1,,,,,82,T,,1
,,,33,H,,1,,,,,83,T,,1
,,,34,H,,1,,,,,84,T,,1
,,,35,H,1,,,,,,85,T,,1
,,,36,H,1,,,,,,86,T,,1
,,,37,H,1,,,,,,87,T,1,
,,,38,H,,1,,,,,88,T,,1
,,,39,H,,1,,,,,89,T,,1
,,,40,H,,1,,,,,90,T,,1
,,,41,H,,1,,,,,91,T,,1
,,,42,H,,1,,,,,92,T,1,
,,,43,H,1,,,,,,93,T,,1
,,,44,H,,1,,,,,94,T,1,
,,,45,H,,1,,,,,95,T,,1
,,,46,H,,1,,,,,96,T,1,
,,,47,H,1,,,,,,97,T,1,
,,,48,H,,1,,,,,98,T,,1
,,,49,H,1,,,,,,99,T,1,
,,,50,H,1,,,,,,100,T,,1
,,,,,,,,,,,,,,
,8:55pm,Janet,101,H,,1,,,9:00pm,Priscilla,151,T,1,
,,,102,H,,1,,,,,152,T,,1
,,,103,H,,1,,,,,153,T,1,
,,,104,H,1,,,,,,154,T,,1
,,,105,H,1,,,,,,155,T,1,
,,,106,H,,1,,,,,156,T,,1
,,,107,H,1,,,,,,157,T,1,
,,,108,H,,1,,,,,158,T,1,
,,,109,H,1,,,,,,159,T,,1
,,,110,H,1,,,,,,160,T,1,
,,,111,H,1,,,,,,161,T,,1
,,,112,H,1,,,,,,162,T,,1
,,,113,H,,1,,,,,163,T,1,
,,,114,H,,1,,,,,164,T,1,
,,,115,H,1,,,,,,165,T,1,
,,,116,H,1,,,,,,166,T,,1
,,,117,H,,1,,,,,167,T,1,
,,,118,H,1,,,,,,168,T,1,
,,,119,H,1,,,,,,169,T,1,
,,,120,H,1,,,,,,170,T,1,
,,,121,H,,1,,,,,171,T,1,
,,,122,H,1,,,,,,172,T,,1
,,,123,H,1,,,,,,173,T,,1
,,,124,H,,1,,,,,174,T,,1
,,,125,H,,1,,,,,175,T,1,
,,,126,H,,1,,,,,176,T,,1
,,,127,H,,1,,,,,177,T,1,
,,,128,H,,1,,,,,178,T,1,
,,,129,H,,1,,,,,179,T,,1
,,,130,H,1,,,,,,180,T,,1
,,,131,H,,1,,,,,181,T,,1
,,,132,H,,1,,,,,182,T,,1
,,,133,H,1,,,,,,183,T,,1
,,,134,H,,1,,,,,184,T,1,
,,,135,H,1,,,,,,185,T,1,
,,,136,H,1,,,,,,186,T,1,
,,,137,H,1,,,,,,187,T,1,
,,,138,H,1,,,,,,188,T,1,
,,,139,H,1,,,,,,189,T,,1
,,,140,H,1,,,,,,190,T,,1
,,,141,H,1,,,,,,191,T,1,
,,,142,H,1,,,,,,192,T,,1
,,,143,H,,1,,,,,193,T,1,
,,,144,H,1,,,,,,194,T,,1
,,,145,H,1,,,,,,195,T,,1
,,,146,H,1,,,,,,196,T,1,
,,,147,H,1,,,,,,197,T,,1
,,,148,H,,1,,,,,198,T,,1
,,,149,H,,1,,,,,199,T,1,
,,,150,H,,1,,,,,200,T,1,
,,,,,,,,,,,,,,
,9:08pm,Janet,201,H,,1,,,9:13pm,Priscilla,251,T,,1
,,,202,H,,1,,,,,252,T,1,
,,,203,H,,1,,,,,253,T,,1
,,,204,H,,1,,,,,254,T,,1
,,,205,H,,1,,,,,255,T,,1
,,,206,H,1,,,,,,256,T,1,
